local_name,tourist_spot,address,tourist_type
군산시,경암동철길마을,전북 군산시 경촌4길 14,village
전주시,전주 한옥마을,전북 전주시 완산구 기린대로 99,village
김제시,김제금산사,전북 김제시 금산면 모악15길 1,temple
남원시,광한루원,전북 남원시 요천로 1447,palace
부안군,변산해수욕장,전북 부안군 변산면 대항리 567,ocean
익산시,국립익산박물관,전북 익산시 금마면 미륵사지로 362,museum
무주군,무주반디랜드,전북 무주군 설천면 무설로 1324,experience
완주군,대둔산,전북 완주군 운주면 산북리 611-34,experience
정읍시,내장산 국립공원케이블카,전북 정읍시 내장산로 1179-11,experience
진안군,마이산,전북 진안군 마령면 마이산로 130,mountain
순창군,강천산군립공원,전북 순창군 팔덕면 청계리 산263-1,park
장수군,장안산,전북 장수군 계남면,mountain
고창군,보리나라 학원농장,전북 고창군 공음면 학원농장길 154,experience
임실군,임실치즈테마파크,전북 임실군 성수면 도인2길 50,experience
무안군,무안황토갯벌랜드,"전남 무안군 해제면 만송로 34 36,",experience
장성군,황룡강생태공원,전남 장성군 장성읍 기산리 57-14,park
나주시,영산강체육공원,전남 나주시 삼영동 117-6,park
해남군,땅끝전망대 ,전남 해남군 송지면 땅끝마을길 100 땅끝모노레일매표소승강장,experience
곡성군,섬진강기차마을,전남 곡성군 오곡면 기차마을로 232,village
순천신,순천드라마촬영장,전남 순천시 비례골길 24,street
여수시,오동도,전남 여수시 수정동 산1-11,island
영암군,월출산,전남 영암군 영암읍 천황사로 280-43,mountain
화순군,세량제,전남 화순군 화순읍 세량리 98,nature
담양군,죽녹원,전남 담양군 담양읍 죽녹원로 119,aboretum
강진군,다산초당,전남 강진군 도암면 만덕리,nature
신안군,신안튤립공원,전남 신안군 임자면 대광해수욕장길 172-7,park
장흥군,선학동 유채마을,전남 장흥군 회진면 회진리 201,village
보성군,대한다원보성녹차밭,전남 보성군 보성읍 녹차로 763-43,field
광양시,매화 정보화마을,전남 광양시 다압면 섬진강매화로 1563-1,village
고흥군,나로우주센터 우주과학관,전남 고흥군 봉래면 하반로 490 우주과학관,museum
구례군,지리산치즈랜드,전남 구례군 산동면 산업로 1590-62,experience
진도군,진도타워,전남 진도군 군내면 만금길 112-41 전망대,experience
목포시,목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,building
영광군,영광칠산타워,전남 영광군 염산면 향화로 2-10,ocean
함편군,돌머리해수욕장,전남 함평군 함평읍 석성리 523,
